record_id,pair_id,operation,label,account_state_label,operation_only_score,operation_only_threshold,measured_actor_context_score,measured_actor_context_threshold,measured_process_context_score,measured_process_context_threshold,timing_proxy_sensitivity_score,timing_proxy_sensitivity_threshold,random_forest_score,random_forest_threshold
ctxv5-p002-r01,ctxv5-p002,backup_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.04863336783595025,0.8722271137626169,0.04787337269768819,0.3919227783411211,0.08240542083270673,0.73660942689017073
ctxv5-p002-r02,ctxv5-p002,backup_delete,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.9889043342897106,0.8722271137626169,0.9897682183006514,0.3919227783411211,0.97798625867537803,0.73660942689017073
ctxv5-p003-r01,ctxv5-p003,service_disable,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.04863336783595025,0.8722271137626169,0.047268566073861894,0.3919227783411211,0.086949058194121076,0.73660942689017073
ctxv5-p003-r02,ctxv5-p003,service_disable,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.9889043342897106,0.8722271137626169,0.9898745029195671,0.3919227783411211,0.97876629314274344,0.73660942689017073
ctxv5-p006-r01,ctxv5-p006,service_disable,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.04863336783595025,0.8722271137626169,0.04742392707283966,0.3919227783411211,0.086949058194121076,0.73660942689017073
ctxv5-p006-r02,ctxv5-p006,service_disable,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.8857873741927504,0.8722271137626169,0.8942102486616503,0.3919227783411211,0.73878226985478113,0.73660942689017073
ctxv5-p016-r01,ctxv5-p016,event_log_clear,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3627766341070236,0.3919227783411211,0.36172456028423877,0.73660942689017073
ctxv5-p016-r02,ctxv5-p016,event_log_clear,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.8722271137626169,0.8722271137626169,0.8808700168274795,0.3919227783411211,0.88924783239899008,0.73660942689017073
ctxv5-p017-r01,ctxv5-p017,backup_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3754475552644829,0.3919227783411211,0.36436918540991831,0.73660942689017073
ctxv5-p017-r02,ctxv5-p017,backup_delete,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.8722271137626169,0.8722271137626169,0.8753731493647118,0.3919227783411211,0.89247598591014199,0.73660942689017073
ctxv5-p018-r01,ctxv5-p018,service_disable,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.37712093509404165,0.3919227783411211,0.36387825050594319,0.73660942689017073
ctxv5-p018-r02,ctxv5-p018,service_disable,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.37712083251309125,0.3919227783411211,0.36387825050594319,0.73660942689017073
ctxv5-p019-r01,ctxv5-p019,shadow_copy_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.38242912757695613,0.3919227783411211,0.37075279869940059,0.73660942689017073
ctxv5-p019-r02,ctxv5-p019,shadow_copy_delete,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3752046322367736,0.3919227783411211,0.37075279869940059,0.73660942689017073
ctxv5-p022-r01,ctxv5-p022,service_disable,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.37872674536365103,0.3919227783411211,0.36387825050594319,0.73660942689017073
ctxv5-p022-r02,ctxv5-p022,service_disable,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.8722271137626169,0.8722271137626169,0.8704892916689456,0.3919227783411211,0.89374973458689755,0.73660942689017073
ctxv5-p024-r01,ctxv5-p024,shadow_copy_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3606283668577808,0.3919227783411211,0.36324351845674063,0.73660942689017073
ctxv5-p024-r02,ctxv5-p024,shadow_copy_delete,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.8722271137626169,0.8722271137626169,0.8802508688264032,0.3919227783411211,0.89733996976479857,0.73660942689017073
ctxv5-p026-r01,ctxv5-p026,backup_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.36323332264644265,0.3919227783411211,0.36267043106247304,0.73660942689017073
ctxv5-p026-r02,ctxv5-p026,backup_delete,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.36323246409349697,0.3919227783411211,0.36267043106247304,0.73660942689017073
ctxv5-p027-r01,ctxv5-p027,event_log_clear,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.36228023814924787,0.3919227783411211,0.36894744881413016,0.73660942689017073
ctxv5-p027-r02,ctxv5-p027,event_log_clear,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3622792292294962,0.3919227783411211,0.36894744881413016,0.73660942689017073
ctxv5-p031-r01,ctxv5-p031,event_log_clear,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.04863336783595025,0.8722271137626169,0.04716663648350802,0.3919227783411211,0.09171031166916635,0.73660942689017073
ctxv5-p031-r02,ctxv5-p031,event_log_clear,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.8857873741927504,0.8722271137626169,0.8959183827361984,0.3919227783411211,0.73660942689017073,0.73660942689017073
ctxv5-p032-r01,ctxv5-p032,event_log_clear,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.04863336783595025,0.8722271137626169,0.04640605082619997,0.3919227783411211,0.09171031166916635,0.73660942689017073
ctxv5-p032-r02,ctxv5-p032,event_log_clear,attack_preparation,not_applicable,0.5,0.500000000001,0.9017658822260124,0.9017658822260124,0.9889043342897106,0.8722271137626169,0.9898172351379352,0.3919227783411211,0.97716632248871937,0.73660942689017073
ctxv5-p035-r01,ctxv5-p035,service_disable,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3633049526752498,0.3919227783411211,0.36829530104302499,0.73660942689017073
ctxv5-p035-r02,ctxv5-p035,service_disable,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.36409374020218727,0.3919227783411211,0.36829530104302499,0.73660942689017073
ctxv5-p038-r01,ctxv5-p038,event_log_clear,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.361196061046906,0.3919227783411211,0.36172456028423877,0.73660942689017073
ctxv5-p038-r02,ctxv5-p038,event_log_clear,attack_preparation,compromised,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.3619921014133672,0.3919227783411211,0.36172456028423877,0.73660942689017073
ctxv5-p044-r01,ctxv5-p044,backup_delete,legitimate_admin,expected_use,0.5,0.500000000001,0.36035622414749613,0.9017658822260124,0.37265759407786014,0.8722271137626169,0.36906972576049324,0.3919227783411211,0.36436918540991831,0.73660942689017073
